WindDirection;WindSpeed;WaterLevel;StormDuration;PhaseDifference;WaterLevelRPB
180;40;1.7;20;-260;-9
210;40;1.7;20;-260;-9
240;40;1.7;20;-260;-9
270;40;1.7;20;-260;-9
300;40;1.7;20;-260;-9
330;40;1.7;20;-260;-9
360;40;1.7;20;-260;-9
30;50;1.7;20;-260;-9
60;50;1.7;20;-260;-9
90;50;1.7;20;-260;-9
120;50;1.7;20;-260;-9
150;50;1.7;20;-260;-9
180;50;1.7;20;-260;-9
210;50;1.7;20;-260;-9
240;50;1.7;20;-260;-9
270;50;1.7;20;-260;-9
300;50;1.7;20;-260;-9
330;50;1.7;20;-260;-9
360;50;1.7;20;-260;-9
30;0;1.8;20;-260;-9
30;10;1.8;20;-260;-9
60;0;1.8;20;-260;-9
60;10;1.8;20;-260;-9
90;0;1.8;20;-260;-9
90;10;1.8;20;-260;-9
120;0;1.8;20;-260;-9
120;10;1.8;20;-260;-9
150;0;1.8;20;-260;-9
150;10;1.8;20;-260;-9
180;0;1.8;20;-260;-9
180;10;1.8;20;-260;-9
210;0;1.8;20;-260;-9
210;10;1.8;20;-260;-9
240;0;1.8;20;-260;-9
240;10;1.8;20;-260;-9
270;0;1.8;20;-260;-9
270;10;1.8;20;-260;-9
300;0;1.8;20;-260;-9
300;10;1.8;20;-260;-9
330;0;1.8;20;-260;-9
330;10;1.8;20;-260;-9
360;0;1.8;20;-260;-9
360;10;1.8;20;-260;-9
30;20;1.8;20;-260;-9
60;20;1.8;20;-260;-9
90;20;1.8;20;-260;-9
120;20;1.8;20;-260;-9
150;20;1.8;20;-260;-9
180;20;1.8;20;-260;-9
210;20;1.8;20;-260;-9
240;20;1.8;20;-260;-9
270;20;1.8;20;-260;-9
300;20;1.8;20;-260;-9
330;20;1.8;20;-260;-9
360;20;1.8;20;-260;-9
30;30;1.8;20;-260;-9
60;30;1.8;20;-260;-9
90;30;1.8;20;-260;-9
120;30;1.8;20;-260;-9
150;30;1.8;20;-260;-9
180;30;1.8;20;-260;-9
210;30;1.8;20;-260;-9
240;30;1.8;20;-260;-9
270;30;1.8;20;-260;-9
300;30;1.8;20;-260;-9
330;30;1.8;20;-260;-9
360;30;1.8;20;-260;-9
30;40;1.8;20;-260;-9
60;40;1.8;20;-260;-9
90;40;1.8;20;-260;-9
120;40;1.8;20;-260;-9
150;40;1.8;20;-260;-9
180;40;1.8;20;-260;-9
210;40;1.8;20;-260;-9
240;40;1.8;20;-260;-9
270;40;1.8;20;-260;-9
300;40;1.8;20;-260;-9
330;40;1.8;20;-260;-9
360;40;1.8;20;-260;-9
30;50;1.8;20;-260;-9
60;50;1.8;20;-260;-9
90;50;1.8;20;-260;-9
120;50;1.8;20;-260;-9
150;50;1.8;20;-260;-9
180;50;1.8;20;-260;-9
210;50;1.8;20;-260;-9
240;50;1.8;20;-260;-9
270;50;1.8;20;-260;-9
300;50;1.8;20;-260;-9
330;50;1.8;20;-260;-9
360;50;1.8;20;-260;-9
30;0;1.9;20;-260;-9
30;10;1.9;20;-260;-9
60;0;1.9;20;-260;-9
60;10;1.9;20;-260;-9
90;0;1.9;20;-260;-9
90;10;1.9;20;-260;-9
120;0;1.9;20;-260;-9
120;10;1.9;20;-260;-9
150;0;1.9;20;-260;-9
150;10;1.9;20;-260;-9
180;0;1.9;20;-260;-9
180;10;1.9;20;-260;-9
210;0;1.9;20;-260;-9
210;10;1.9;20;-260;-9
240;0;1.9;20;-260;-9
240;10;1.9;20;-260;-9
270;0;1.9;20;-260;-9
270;10;1.9;20;-260;-9
300;0;1.9;20;-260;-9
300;10;1.9;20;-260;-9
330;0;1.9;20;-260;-9
330;10;1.9;20;-260;-9
360;0;1.9;20;-260;-9
360;10;1.9;20;-260;-9
30;20;1.9;20;-260;-9
60;20;1.9;20;-260;-9
90;20;1.9;20;-260;-9
120;20;1.9;20;-260;-9
150;20;1.9;20;-260;-9
180;20;1.9;20;-260;-9
210;20;1.9;20;-260;-9
240;20;1.9;20;-260;-9
270;20;1.9;20;-260;-9
300;20;1.9;20;-260;-9
330;20;1.9;20;-260;-9
360;20;1.9;20;-260;-9
30;30;1.9;20;-260;-9
60;30;1.9;20;-260;-9
90;30;1.9;20;-260;-9
120;30;1.9;20;-260;-9
150;30;1.9;20;-260;-9
180;30;1.9;20;-260;-9
210;30;1.9;20;-260;-9
240;30;1.9;20;-260;-9
270;30;1.9;20;-260;-9
300;30;1.9;20;-260;-9
330;30;1.9;20;-260;-9
360;30;1.9;20;-260;-9
30;40;1.9;20;-260;-9
60;40;1.9;20;-260;-9
90;40;1.9;20;-260;-9
120;40;1.9;20;-260;-9
150;40;1.9;20;-260;-9
180;40;1.9;20;-260;-9
210;40;1.9;20;-260;-9
240;40;1.9;20;-260;-9
270;40;1.9;20;-260;-9
300;40;1.9;20;-260;-9
330;40;1.9;20;-260;-9
360;40;1.9;20;-260;-9
30;50;1.9;20;-260;-9
60;50;1.9;20;-260;-9
90;50;1.9;20;-260;-9
120;50;1.9;20;-260;-9
150;50;1.9;20;-260;-9
180;50;1.9;20;-260;-9
210;50;1.9;20;-260;-9
240;50;1.9;20;-260;-9
270;50;1.9;20;-260;-9
300;50;1.9;20;-260;-9
330;50;1.9;20;-260;-9
360;50;1.9;20;-260;-9
30;0;2;20;-260;-9
30;10;2;20;-260;-9
60;0;2;20;-260;-9
60;10;2;20;-260;-9
90;0;2;20;-260;-9
90;10;2;20;-260;-9
120;0;2;20;-260;-9
120;10;2;20;-260;-9
150;0;2;20;-260;-9
150;10;2;20;-260;-9
180;0;2;20;-260;-9
180;10;2;20;-260;-9
210;0;2;20;-260;-9
210;10;2;20;-260;-9
240;0;2;20;-260;-9
240;10;2;20;-260;-9
270;0;2;20;-260;-9
270;10;2;20;-260;-9
300;0;2;20;-260;-9
300;10;2;20;-260;-9
330;0;2;20;-260;-9
330;10;2;20;-260;-9
360;0;2;20;-260;-9
360;10;2;20;-260;-9
30;20;2;20;-260;-9
60;20;2;20;-260;-9
90;20;2;20;-260;-9
120;20;2;20;-260;-9
150;20;2;20;-260;-9
180;20;2;20;-260;-9
210;20;2;20;-260;-9
240;20;2;20;-260;-9
270;20;2;20;-260;-9
300;20;2;20;-260;-9
330;20;2;20;-260;-9
360;20;2;20;-260;-9
30;30;2;20;-260;-9
60;30;2;20;-260;-9
90;30;2;20;-260;-9
120;30;2;20;-260;-9
150;30;2;20;-260;-9
180;30;2;20;-260;-9
210;30;2;20;-260;-9
240;30;2;20;-260;-9
270;30;2;20;-260;-9
300;30;2;20;-260;-9
330;30;2;20;-260;-9
360;30;2;20;-260;-9
30;40;2;20;-260;-9
60;40;2;20;-260;-9
90;40;2;20;-260;-9
120;40;2;20;-260;-9
150;40;2;20;-260;-9
180;40;2;20;-260;-9
210;40;2;20;-260;-9
240;40;2;20;-260;-9
270;40;2;20;-260;-9
300;40;2;20;-260;-9
330;40;2;20;-260;-9
360;40;2;20;-260;-9
30;50;2;20;-260;-9
60;50;2;20;-260;-9
90;50;2;20;-260;-9
120;50;2;20;-260;-9
150;50;2;20;-260;-9
180;50;2;20;-260;-9
210;50;2;20;-260;-9
240;50;2;20;-260;-9
270;50;2;20;-260;-9
300;50;2;20;-260;-9
330;50;2;20;-260;-9
360;50;2;20;-260;-9
30;0;2.1;20;-260;-9
30;10;2.1;20;-260;-9
60;0;2.1;20;-260;-9
60;10;2.1;20;-260;-9
90;0;2.1;20;-260;-9
90;10;2.1;20;-260;-9
120;0;2.1;20;-260;-9
120;10;2.1;20;-260;-9
150;0;2.1;20;-260;-9
150;10;2.1;20;-260;-9
180;0;2.1;20;-260;-9
180;10;2.1;20;-260;-9
210;0;2.1;20;-260;-9
210;10;2.1;20;-260;-9
240;0;2.1;20;-260;-9
240;10;2.1;20;-260;-9
270;0;2.1;20;-260;-9
270;10;2.1;20;-260;-9
300;0;2.1;20;-260;-9
300;10;2.1;20;-260;-9
330;0;2.1;20;-260;-9
330;10;2.1;20;-260;-9
360;0;2.1;20;-260;-9
360;10;2.1;20;-260;-9
30;20;2.1;20;-260;-9
60;20;2.1;20;-260;-9
90;20;2.1;20;-260;-9
120;20;2.1;20;-260;-9
150;20;2.1;20;-260;-9
180;20;2.1;20;-260;-9
210;20;2.1;20;-260;-9
240;20;2.1;20;-260;-9
270;20;2.1;20;-260;-9
300;20;2.1;20;-260;-9
330;20;2.1;20;-260;-9
360;20;2.1;20;-260;-9
30;30;2.1;20;-260;-9
60;30;2.1;20;-260;-9
90;30;2.1;20;-260;-9
120;30;2.1;20;-260;-9
150;30;2.1;20;-260;-9
180;30;2.1;20;-260;-9
210;30;2.1;20;-260;-9
240;30;2.1;20;-260;-9
270;30;2.1;20;-260;-9
300;30;2.1;20;-260;-9
330;30;2.1;20;-260;-9
360;30;2.1;20;-260;-9
30;40;2.1;20;-260;-9
60;40;2.1;20;-260;-9
90;40;2.1;20;-260;-9
120;40;2.1;20;-260;-9
150;40;2.1;20;-260;-9
180;40;2.1;20;-260;-9
210;40;2.1;20;-260;-9
240;40;2.1;20;-260;-9
270;40;2.1;20;-260;-9
300;40;2.1;20;-260;-9
330;40;2.1;20;-260;-9
360;40;2.1;20;-260;-9
30;50;2.1;20;-260;-9
60;50;2.1;20;-260;-9
90;50;2.1;20;-260;-9
120;50;2.1;20;-260;-9
150;50;2.1;20;-260;-9
180;50;2.1;20;-260;-9
210;50;2.1;20;-260;-9
240;50;2.1;20;-260;-9
270;50;2.1;20;-260;-9
300;50;2.1;20;-260;-9
330;50;2.1;20;-260;-9
360;50;2.1;20;-260;-9
30;0;2.2;20;-260;-9
30;10;2.2;20;-260;-9
60;0;2.2;20;-260;-9
60;10;2.2;20;-260;-9
90;0;2.2;20;-260;-9
90;10;2.2;20;-260;-9
120;0;2.2;20;-260;-9
120;10;2.2;20;-260;-9
150;0;2.2;20;-260;-9
150;10;2.2;20;-260;-9
180;0;2.2;20;-260;-9
180;10;2.2;20;-260;-9
210;0;2.2;20;-260;-9
210;10;2.2;20;-260;-9
240;0;2.2;20;-260;-9
240;10;2.2;20;-260;-9
270;0;2.2;20;-260;-9
270;10;2.2;20;-260;-9
300;0;2.2;20;-260;-9
300;10;2.2;20;-260;-9
330;0;2.2;20;-260;-9
330;10;2.2;20;-260;-9
360;0;2.2;20;-260;-9
360;10;2.2;20;-260;-9
30;20;2.2;20;-260;-9
60;20;2.2;20;-260;-9
90;20;2.2;20;-260;-9
120;20;2.2;20;-260;-9
150;20;2.2;20;-260;-9
180;20;2.2;20;-260;-9
210;20;2.2;20;-260;-9
240;20;2.2;20;-260;-9
270;20;2.2;20;-260;-9
300;20;2.2;20;-260;-9
330;20;2.2;20;-260;-9
360;20;2.2;20;-260;-9
30;30;2.2;20;-260;-9
60;30;2.2;20;-260;-9
90;30;2.2;20;-260;-9
120;30;2.2;20;-260;-9
150;30;2.2;20;-260;-9
180;30;2.2;20;-260;-9
210;30;2.2;20;-260;-9
240;30;2.2;20;-260;-9
270;30;2.2;20;-260;-9
300;30;2.2;20;-260;-9
330;30;2.2;20;-260;-9
360;30;2.2;20;-260;-9
30;40;2.2;20;-260;-9
60;40;2.2;20;-260;-9
90;40;2.2;20;-260;-9
120;40;2.2;20;-260;-9
150;40;2.2;20;-260;-9
180;40;2.2;20;-260;-9
210;40;2.2;20;-260;-9
240;40;2.2;20;-260;-9
270;40;2.2;20;-260;-9
300;40;2.2;20;-260;-9
330;40;2.2;20;-260;-9
360;40;2.2;20;-260;-9
30;50;2.2;20;-260;-9
60;50;2.2;20;-260;-9
90;50;2.2;20;-260;-9
120;50;2.2;20;-260;-9
150;50;2.2;20;-260;-9
180;50;2.2;20;-260;-9
210;50;2.2;20;-260;-9
240;50;2.2;20;-260;-9
270;50;2.2;20;-260;-9
300;50;2.2;20;-260;-9
330;50;2.2;20;-260;-9
360;50;2.2;20;-260;-9
30;0;2.3;20;-260;-9
30;10;2.3;20;-260;-9
60;0;2.3;20;-260;-9
60;10;2.3;20;-260;-9
90;0;2.3;20;-260;-9
90;10;2.3;20;-260;-9
120;0;2.3;20;-260;-9
120;10;2.3;20;-260;-9
150;0;2.3;20;-260;-9
150;10;2.3;20;-260;-9
180;0;2.3;20;-260;-9
180;10;2.3;20;-260;-9
210;0;2.3;20;-260;-9
210;10;2.3;20;-260;-9
240;0;2.3;20;-260;-9
